"GEOID20","iteration_0","iteration_50","iteration_100","iteration_150","iteration_200","iteration_250","iteration_300","iteration_350","iteration_400","iteration_450","iteration_500","iteration_550","iteration_600","iteration_650","iteration_700","iteration_750","iteration_800","iteration_850","iteration_900","iteration_950","iteration_1000","iteration_1050","iteration_1100","iteration_1150","iteration_1200","iteration_1250","iteration_1300","iteration_1350","iteration_1400","iteration_1450","iteration_1500","iteration_1550","iteration_1600","iteration_1650","iteration_1700","iteration_1750","iteration_1800","iteration_1850","iteration_1900","iteration_1950","iteration_2000","iteration_2050","iteration_2100","iteration_2150","iteration_2200","iteration_2250","iteration_2300","iteration_2350","iteration_2400","iteration_2450","iteration_2500"
"37025012-12",12,2,4,3,11,2,12,1,12,3,3,3,2,8,8,4,5,3,3,6,1,1,1,7,3,7,8,8,9,5,5,5,5,13,5,11,12,12,2,2,12,10,9,1,1,12,2,2,2,4,10
"37025012-11",13,12,4,11,11,2,12,1,12,5,3,3,2,8,8,4,5,3,3,11,10,1,1,7,3,7,8,8,9,5,5,5,5,13,5,11,12,12,2,2,12,10,9,1,1,12,2,2,2,4,10
"37025012-10",13,12,4,11,11,2,12,1,12,5,3,3,2,8,8,4,5,3,8,6,10,10,1,7,3,7,8,8,9,5,5,5,5,13,5,11,12,12,2,2,12,10,9,1,1,12,2,2,2,4,10
"3700300T2T3",12,11,14,12,3,1,12,11,3,5,4,13,6,6,1,6,14,14,8,6,10,12,8,1,8,1,12,7,9,5,5,5,5,11,2,2,2,2,11,11,11,1,10,10,9,9,5,5,4,10,9
"3712500EKWD",11,14,7,5,2,14,4,7,14,14,10,8,14,11,4,11,10,10,5,3,6,11,13,14,14,13,13,11,14,3,3,11,6,6,8,14,14,10,7,13,5,5,5,11,3,4,4,1,1,1,14
"371370005AP",2,5,6,9,8,6,8,13,13,1,13,12,7,10,10,12,7,4,14,13,13,9,5,13,6,11,4,6,11,10,10,10,10,14,14,8,8,8,8,8,13,8,7,13,8,8,8,8,8,8,8
"3704300TUSQ",3,8,12,13,4,3,11,3,11,4,5,5,5,1,6,14,6,6,6,8,2,3,2,12,12,12,1,1,7,1,1,1,1,1,1,1,1,1,1,1,2,2,1,9,10,10,10,11,11,11,11
"37191000001",6,10,5,1,6,8,13,6,6,1,8,10,11,9,7,10,9,8,13,13,7,14,6,4,11,11,4,4,4,4,4,10,10,14,14,8,8,8,8,8,13,8,7,13,8,8,8,8,8,8,8
"3715900019A",13,12,4,11,3,2,12,1,12,5,3,3,3,13,14,13,13,12,8,6,10,10,7,7,3,7,8,8,1,5,5,5,5,13,5,11,12,12,2,2,12,10,9,1,1,12,2,2,2,4,10
"370510G3A-2",14,1,7,5,2,14,4,7,14,14,10,8,14,11,4,11,10,10,5,3,6,13,13,14,14,13,13,11,14,3,3,11,6,6,8,14,14,10,7,13,5,5,5,11,3,4,4,1,1,1,14
