"GEOID20","iteration_0","iteration_50","iteration_100","iteration_150","iteration_200","iteration_250","iteration_300","iteration_350","iteration_400","iteration_450","iteration_500","iteration_550","iteration_600","iteration_650","iteration_700","iteration_750","iteration_800","iteration_850","iteration_900","iteration_950","iteration_1000","iteration_1050","iteration_1100","iteration_1150","iteration_1200","iteration_1250","iteration_1300","iteration_1350","iteration_1400","iteration_1450","iteration_1500"
"3705100LI65",11,2,14,9,1,3,14,9,9,11,2,12,12,5,1,11,11,3,12,7,7,8,13,6,7,7,2,1,1,4,4
"370830FAUCT",6,5,4,6,9,8,3,8,3,9,6,14,1,12,11,1,5,11,3,12,13,1,1,1,1,9,12,4,13,11,2
"37025008-00",13,1,7,3,6,13,13,4,13,5,1,9,4,11,10,2,4,2,13,13,10,7,11,11,5,14,4,11,12,3,3
"370210028.1",7,10,10,13,13,2,2,2,7,10,10,13,13,13,13,13,13,13,2,2,11,10,10,10,14,10,8,8,8,10,10
"37065000501",6,5,4,2,9,8,3,8,3,9,6,14,1,12,1,1,5,11,1,12,5,13,1,1,1,9,12,4,13,11,2
"3705100CC06",11,2,6,4,1,1,9,9,9,11,2,12,12,11,6,11,11,3,12,7,7,2,4,8,7,7,2,1,1,4,4
"3705100CC05",11,2,6,9,1,1,9,3,9,11,2,12,12,11,6,11,11,3,12,7,7,2,4,8,7,7,2,1,1,4,4
"3712700P20A",6,5,4,2,9,8,3,8,3,9,6,14,1,12,1,5,5,6,1,12,5,13,1,1,1,9,6,2,3,11,2
"3705100CC04",11,2,6,4,1,1,9,9,9,11,2,12,12,11,6,11,11,3,12,7,7,2,4,8,7,7,2,1,1,4,4
"3705100CC03",11,2,6,4,6,1,9,3,9,11,2,12,12,11,6,11,11,3,12,7,7,2,4,8,4,7,2,1,1,4,4
"370210015.1",7,10,10,13,13,2,2,2,7,10,10,13,13,13,13,13,13,13,2,2,11,10,10,10,14,10,8,8,8,10,10
"3707700WOEL",6,5,4,2,4,14,10,10,5,7,6,11,1,10,3,5,5,11,3,5,13,6,1,1,1,9,12,4,9,11,1
"37081000OR2",3,11,9,5,11,4,5,13,2,12,14,7,7,7,7,4,8,14,9,9,12,5,2,12,12,1,1,3,11,13,13
"3705100CC01",11,2,6,4,1,1,9,3,9,11,2,12,12,11,6,11,11,3,12,7,7,2,4,8,7,7,2,1,4,4,4
"37081000OR1",3,11,3,5,11,4,5,13,2,12,7,7,10,6,7,4,8,5,9,9,12,5,2,12,12,3,1,3,11,13,13
"3707700CRDM",6,5,4,2,4,14,10,10,5,7,12,6,1,12,9,9,5,8,3,3,13,6,1,7,6,9,12,12,9,1,1
"3707700CRDL",6,5,4,2,4,14,10,10,5,7,6,11,1,10,3,5,5,11,3,5,13,6,1,1,1,9,12,4,9,11,1
"3705100CC08",11,2,6,4,1,1,9,3,9,11,2,12,12,11,6,11,11,3,12,7,7,2,4,8,7,7,2,1,1,4,4
"3708500PR32",2,2,2,11,14,1,9,3,9,11,2,1,5,5,5,11,11,3,12,7,7,8,13,6,13,6,2,1,1,4,4
"3705100CC07",11,2,6,4,1,1,9,3,9,11,2,12,12,11,6,11,11,3,12,7,7,2,4,8,7,7,2,1,1,4,4
"3708500PR31",11,8,2,9,14,1,9,3,9,11,2,1,12,5,5,11,11,3,12,7,7,8,13,6,7,6,2,1,1,4,4
"37119000221",10,1,7,7,10,13,12,1,11,5,8,9,2,2,14,12,9,12,6,11,14,14,12,9,11,14,5,5,5,7,14
"37119000220",10,1,7,12,10,13,12,1,11,5,8,9,2,2,14,14,9,12,6,11,14,14,12,9,11,14,5,5,5,7,14
"37083000HPR",6,5,5,2,9,8,6,6,3,9,6,14,1,12,11,1,1,9,1,12,5,13,1,1,1,9,12,4,13,9,2
"371050000B2",1,8,11,11,14,1,9,3,9,11,2,1,5,5,5,11,11,8,8,3,1,12,6,2,2,2,2,12,1,4,5
"371050000B1",2,8,11,11,1,1,9,3,9,11,2,1,5,5,5,11,11,8,8,3,1,12,6,2,2,2,2,12,1,4,5
"37025004-13",13,1,1,1,6,7,4,11,4,1,4,9,9,14,2,10,4,2,11,13,10,7,11,5,5,14,14,14,14,12,12
"370810000GR",1,14,11,5,5,5,1,13,2,12,14,2,7,6,7,7,14,14,13,6,12,5,2,3,2,3,3,11,12,14,5
"370130SURBA",9,4,5,6,8,8,6,6,3,3,11,3,14,1,1,1,1,9,1,12,5,3,7,13,3,12,12,13,6,9,9
"37025004-12",10,1,1,1,6,7,4,11,4,5,4,9,9,14,4,10,4,2,11,13,10,7,11,5,8,14,14,14,14,12,12
"37119000229",8,13,12,12,12,11,11,1,4,8,4,8,2,9,14,14,9,4,10,10,4,4,12,5,11,5,5,10,10,8,8
"3705100CC34",11,2,6,4,1,1,9,3,9,11,2,12,12,11,6,11,11,3,12,7,7,2,4,8,7,7,2,1,1,4,4
"37025004-11",10,1,1,1,6,7,4,7,4,5,4,9,9,14,4,10,4,2,11,13,10,7,11,11,8,14,14,14,14,12,12
"37119000228",8,13,7,12,12,11,11,1,11,8,4,8,2,2,14,14,9,12,6,10,4,4,12,5,11,5,5,10,7,5,7
"3705100CC33",11,2,6,4,1,1,9,3,9,11,2,12,12,11,6,11,11,3,12,7,7,2,4,8,4,7,2,1,1,4,4
"37119000227",8,1,7,7,12,13,11,1,11,5,8,9,2,2,14,14,9,12,6,11,14,14,12,9,11,5,5,5,5,7,14
"3705100CC32",11,2,6,4,1,1,9,3,9,11,2,12,12,11,6,11,11,3,12,7,7,2,4,8,4,7,2,1,1,4,4
"37119000226",8,13,7,7,12,13,11,1,11,5,8,8,2,2,14,14,9,12,6,11,14,14,12,9,11,5,5,5,5,7,14
"37119000225",8,13,7,7,12,13,11,1,11,5,8,8,2,2,14,14,9,12,6,10,14,14,12,5,11,5,5,10,7,7,14
"37119000224",12,12,12,12,12,11,11,7,4,8,4,4,9,9,2,2,12,4,10,10,4,4,9,5,5,5,7,10,7,5,7
"3708500PR25",11,2,14,8,14,3,14,8,9,11,2,12,12,5,1,6,11,3,12,7,7,8,13,6,7,4,2,1,1,4,4
"3708500PR24",11,2,2,8,14,3,9,3,9,11,2,1,12,5,1,11,11,3,12,7,7,8,13,6,7,6,9,1,1,4,4
"37119000222",10,1,12,12,10,11,11,7,4,8,4,8,4,14,2,2,12,4,10,10,4,4,9,5,5,5,10,10,7,5,7
"3708500PR23",11,8,2,9,14,1,9,3,9,11,2,1,12,5,5,11,11,3,12,7,7,8,13,6,4,2,2,1,1,4,4
"371290000WB",4,6,6,4,3,3,14,9,6,6,3,5,6,4,12,12,6,1,7,1,3,8,8,4,7,4,9,6,4,6,6
"3708500PR20",11,8,14,9,14,1,14,9,9,11,2,12,12,5,1,6,11,3,12,7,7,8,13,6,7,6,2,1,1,4,4
"3714701505B",9,6,5,9,8,9,3,6,3,9,11,3,14,12,1,5,1,11,1,12,3,13,7,1,3,12,13,13,13,11,9
"370890000SM",7,10,10,13,13,2,2,2,7,10,10,13,13,13,13,13,13,13,2,2,11,10,10,10,14,10,8,8,8,10,10
"3714100SP15",4,6,14,4,3,3,14,9,6,6,3,5,6,1,12,6,6,9,7,1,3,3,8,4,7,4,9,6,6,6,6
"3714701505A",9,6,5,9,8,9,3,6,3,3,3,3,14,12,1,5,1,11,7,12,3,13,7,1,3,12,13,13,6,11,9
"371870000P2",9,5,5,6,9,8,6,6,3,3,11,3,1,1,11,1,1,9,1,12,5,3,7,13,1,9,12,13,13,9,9
"3708500PR29",11,2,14,8,14,3,14,3,9,11,2,1,12,5,1,6,11,3,12,7,7,8,13,6,7,4,9,1,1,4,4
"371870000P1",9,5,5,6,9,8,6,6,3,3,11,3,1,1,11,1,1,9,1,12,5,3,7,13,1,9,12,13,13,9,9
"3708500PR28",2,8,11,11,14,1,9,3,9,11,2,1,5,5,5,11,7,3,5,3,1,8,13,6,13,6,11,12,1,4,4
"3703900GCRK",7,10,10,13,13,2,2,2,7,10,10,13,13,13,13,13,13,13,2,2,11,10,10,10,14,10,8,8,8,10,10
"3708500PR26",11,2,14,9,14,3,14,3,9,11,2,1,12,5,1,6,11,3,12,7,7,8,13,6,7,6,2,1,1,4,4
"370890000SW",7,10,10,13,13,2,2,2,7,10,10,13,13,13,13,13,13,13,2,2,11,10,10,10,14,10,8,8,8,10,10
"37115REVERE",7,10,10,13,13,2,2,2,7,13,10,13,13,13,4,13,13,13,4,2,11,10,10,10,14,10,8,8,8,10,10
"371510000PR",1,14,11,11,5,5,13,13,13,4,14,2,10,6,7,7,14,14,13,6,9,11,5,2,2,2,4,11,12,3,3
"37119000210",10,1,12,12,10,11,11,7,4,8,4,8,4,14,2,2,12,4,10,10,4,4,9,5,5,5,10,10,7,5,7
"3705100CC27",11,2,6,4,6,1,9,3,9,11,2,12,12,11,6,11,11,3,12,7,7,2,4,8,4,7,2,1,1,4,4
"371050000A2",1,8,11,11,14,1,9,3,9,11,2,1,5,5,5,11,11,8,8,3,1,12,6,2,2,2,2,12,1,4,5
"3705100CC26",11,2,6,4,6,1,9,3,9,11,2,12,12,11,6,11,11,3,12,7,7,2,4,8,4,7,2,1,1,4,4
"371050000A1",1,8,11,11,1,1,9,3,9,11,2,1,5,5,5,11,11,3,12,3,1,12,6,2,2,2,2,12,1,4,5
"37025004-03",10,1,7,3,6,7,4,4,4,5,4,9,9,11,10,10,4,2,11,13,10,7,11,11,8,14,14,14,14,12,12
"3705100CC25",11,2,6,4,6,1,9,3,9,11,2,12,12,11,6,11,11,3,12,7,7,2,4,8,4,7,2,1,1,4,4
"3705100CC24",11,2,6,4,6,1,9,3,9,11,2,12,12,11,6,11,11,3,12,7,7,2,4,8,4,7,2,1,1,4,4
"37025004-01",10,1,1,1,6,7,4,11,4,5,4,9,9,14,4,10,4,2,11,13,10,7,11,5,5,14,14,14,14,12,12
"37119000218",10,1,7,12,12,13,12,1,11,5,8,9,2,2,14,14,9,12,6,11,14,14,12,9,11,14,5,5,5,7,14
"371870000P3",9,5,5,6,9,8,6,6,3,3,11,3,1,1,11,1,1,9,1,12,5,3,7,13,1,9,12,13,13,9,9
"37119000217",10,1,7,7,10,13,11,1,11,5,8,8,2,2,14,14,9,12,6,11,14,14,12,9,11,14,5,5,5,7,14
"37119000216",10,1,7,12,10,13,12,1,11,5,8,8,2,2,14,14,9,12,6,11,14,14,12,9,11,14,5,5,5,7,14
"3705100CC21",11,2,6,4,6,1,9,9,9,11,2,12,12,11,6,11,11,3,12,7,7,2,4,8,7,7,2,1,1,4,4
"37119000215",10,1,7,7,10,13,12,1,11,5,8,9,2,2,14,14,9,12,6,11,14,14,12,9,11,5,5,5,5,7,14
"37119000214",10,13,12,12,10,11,11,7,4,8,4,9,4,14,2,2,12,4,10,10,4,4,9,5,5,11,10,10,7,5,7
"37119000213",8,13,12,12,10,11,11,11,4,8,4,9,4,14,2,2,12,4,10,10,4,4,9,5,5,5,10,10,7,7,7
"37045KINGST",12,3,10,13,13,10,7,12,1,1,13,4,9,9,13,8,10,10,2,4,2,9,14,14,10,8,8,8,10,8,8
"37119000212",10,13,12,7,10,11,12,11,4,8,4,9,4,14,2,2,12,4,10,11,14,4,9,5,5,14,10,10,7,5,7
"37119000211",10,1,12,12,10,11,11,7,4,1,4,8,4,14,2,2,12,4,10,10,4,4,9,5,5,11,10,10,7,5,7
"37025004-09",13,1,1,1,6,10,4,7,4,1,4,9,9,14,4,10,4,2,11,13,10,7,11,11,8,14,14,14,14,12,12
"370890000RR",7,10,10,13,13,2,2,12,7,10,10,4,13,13,13,13,13,13,2,2,11,10,10,10,14,10,8,8,8,10,10
"37025004-08",10,1,1,1,7,10,4,11,4,1,4,9,9,14,4,10,4,2,11,13,4,4,9,5,5,14,14,14,14,12,12
"3705100CC29",11,2,6,3,1,1,9,3,9,11,2,12,12,11,6,11,11,3,12,7,7,2,4,8,4,7,2,1,1,4,4
"37065001001",6,4,4,9,9,8,3,8,8,9,6,14,14,12,3,5,5,6,1,12,5,13,13,1,1,9,6,2,3,11,2
"37119000219",10,1,7,7,10,13,12,1,11,5,8,9,2,2,14,12,4,12,6,11,14,14,12,9,11,14,5,5,5,7,14
"3710900BS26",12,3,1,1,7,10,7,12,1,1,13,10,8,9,4,10,10,10,4,4,2,4,9,11,8,8,10,7,10,12,12
"3705100CC31",11,2,6,4,1,1,9,3,9,11,2,12,12,11,6,11,11,3,12,7,7,2,4,8,4,7,2,1,1,4,4
"370210058.1",7,10,10,13,13,2,2,2,7,10,10,13,13,13,4,13,13,13,4,2,11,10,10,10,14,10,8,8,8,10,10
"37173000BC2",7,10,10,13,13,2,2,2,7,10,10,13,13,13,13,13,13,13,2,2,11,10,10,10,14,10,8,8,8,10,10
"370890000SB",7,10,10,13,13,2,2,2,7,10,10,13,13,13,13,13,13,13,2,2,11,10,10,10,14,10,8,8,8,10,10
"37173000BC1",7,10,10,13,13,2,2,2,7,10,10,13,13,13,13,13,13,13,2,2,11,10,10,10,14,10,8,8,8,10,10
"370890000SE",7,10,10,13,13,2,2,2,7,10,10,13,13,13,13,13,13,13,2,2,11,10,10,10,14,10,8,8,8,10,10
"3704300BRAS",7,10,10,13,13,2,2,2,7,10,10,13,13,13,13,13,13,13,2,2,11,10,10,10,14,10,8,8,8,10,10
"371510000SE",13,8,8,3,6,7,13,4,13,4,9,1,5,11,6,9,14,14,13,6,9,11,6,2,2,2,4,11,12,3,3
"370210006.1",7,10,10,13,13,2,2,2,7,10,10,13,13,13,13,13,13,13,2,2,11,10,10,10,14,10,8,8,8,10,10
"37055000WAN",9,4,5,6,8,8,6,6,3,3,11,3,1,1,11,1,1,9,1,12,5,3,7,13,1,9,12,13,13,9,9
"37095000OCK",9,4,5,6,8,8,6,6,3,3,11,3,1,1,11,1,1,9,1,12,5,3,7,13,3,9,12,13,13,9,9
"3700300000M",14,3,13,1,2,12,4,7,12,13,1,10,8,8,10,10,10,10,4,4,10,7,11,11,8,11,14,14,10,12,12
"371810000CC",6,5,4,2,9,8,3,10,5,7,6,11,1,10,3,5,5,11,3,5,13,6,1,1,1,9,12,4,9,11,1
"371510000SO",13,8,8,3,6,7,13,4,13,4,9,1,5,11,6,9,14,14,13,6,9,11,5,2,2,2,4,11,12,3,3
"3700300000W",14,12,13,10,2,12,4,7,12,13,13,10,8,8,10,10,10,10,4,4,2,9,14,14,10,11,14,14,10,8,8
"3703900HOTH",7,10,10,13,13,2,2,2,7,10,10,13,13,13,13,13,13,13,2,2,11,10,10,10,14,10,8,8,8,10,10
"3704500KM-S",12,3,1,1,12,11,7,12,1,1,13,4,9,9,4,8,10,10,2,4,2,9,14,14,10,8,7,7,10,8,8
"3704500KM-N",12,3,1,1,12,11,7,12,1,1,13,4,9,9,4,8,10,10,10,4,2,9,14,14,10,8,7,7,10,8,8
"3705100G11B",11,2,6,4,1,1,9,3,9,11,2,12,12,11,6,11,11,3,12,7,7,2,4,8,4,7,2,1,1,4,4
"371510000RN",13,14,8,5,6,7,13,4,13,4,14,1,5,6,7,7,14,14,13,6,9,11,5,2,2,2,4,11,12,3,3
"371510000RM",1,14,11,11,6,7,13,4,13,4,9,1,5,11,6,9,14,14,13,6,9,11,5,2,2,2,4,11,12,3,3
"37107000PH2",9,2,5,6,8,9,6,9,8,3,11,5,14,1,1,6,1,6,7,1,3,13,7,13,3,12,13,13,6,6,6
"37107000PH1",9,2,5,6,8,9,6,9,8,3,11,5,14,1,1,6,6,9,7,1,3,13,7,13,3,12,13,13,6,9,2
"3701900010B",4,6,6,4,3,3,14,9,6,6,3,5,6,4,12,12,2,1,14,14,6,8,8,4,7,4,9,6,4,6,6
"37183012-02",2,2,11,11,14,1,9,3,9,11,2,1,5,5,9,11,7,3,5,8,7,8,13,6,13,6,11,9,1,4,4
"37183012-01",2,8,2,8,14,1,9,3,9,11,5,11,11,3,1,11,7,7,5,8,7,8,13,6,13,6,11,9,3,2,11
"371110MAR-5",7,10,13,10,2,2,2,2,1,10,10,13,13,13,4,8,13,10,4,2,2,10,10,10,14,10,7,7,8,10,10
"371110MAR-4",12,3,13,10,2,2,7,2,1,13,10,4,8,9,13,8,10,10,2,2,2,10,10,14,14,10,7,7,14,10,10
"371110MAR-3",12,3,13,10,2,2,7,2,1,13,10,13,8,9,4,8,10,10,4,2,2,10,10,14,14,8,7,7,14,10,10
"371110MAR-2",7,10,13,10,2,2,2,2,1,13,10,13,13,13,4,8,10,10,4,2,2,10,10,14,14,10,7,7,14,10,10
"371110MAR-1",12,3,13,10,2,2,7,2,1,13,10,13,8,9,4,8,10,10,4,2,2,10,10,14,14,8,7,7,14,10,10
"370130WASH4",9,4,5,6,8,8,6,6,3,3,11,3,1,1,11,1,1,11,1,12,5,3,7,13,1,12,12,13,13,9,9
"370130WASH2",9,4,5,6,8,8,6,6,3,3,11,3,14,12,11,1,1,11,1,12,5,3,7,13,1,12,12,13,13,9,9
"370130WASH1",9,4,5,6,8,8,6,6,3,3,11,3,14,1,11,1,1,11,1,12,5,3,7,13,1,12,13,13,13,9,9
"3713300CR07",4,6,14,6,8,9,6,9,6,6,11,5,6,1,11,6,6,9,7,1,3,3,8,4,3,12,13,13,6,6,6
"3700300000E",14,3,13,10,2,12,4,7,12,13,13,10,8,8,10,10,10,10,4,4,2,9,14,14,10,8,14,14,10,8,8
"3708900HV-3",7,10,10,13,13,2,2,2,7,10,10,13,13,13,13,13,13,13,2,2,11,10,10,10,14,10,8,8,8,10,10
"3708900HV-2",7,10,10,13,13,2,2,2,7,10,10,13,13,13,13,13,13,13,2,2,11,10,10,10,14,10,8,8,8,10,10
"37125000CAR",1,8,8,11,1,7,13,4,13,4,9,1,5,11,5,11,14,14,13,6,9,11,6,2,2,2,2,1,1,4,4
"3708900HV-1",7,10,10,13,13,2,2,2,7,10,10,13,13,13,13,13,13,13,2,2,11,10,10,10,14,10,8,8,8,10,10
"37125000CAM",11,8,11,11,1,1,9,3,9,11,2,1,5,5,5,11,11,3,12,3,9,12,6,2,2,2,2,1,1,4,4
"370210001.1",7,10,10,13,13,2,2,2,7,10,10,13,13,13,13,13,13,13,2,2,11,10,10,10,14,10,8,8,8,10,10
"370890000NM",7,10,10,13,13,2,2,2,7,10,10,13,13,13,13,13,13,13,2,2,11,10,10,10,14,10,8,8,8,10,10
"370910000M2",9,5,5,6,9,8,6,6,3,3,6,14,1,1,11,1,1,9,1,12,5,13,1,1,1,9,12,4,13,9,2
"370890000NW",7,10,10,13,13,2,2,2,7,10,10,13,13,13,13,13,13,13,2,2,11,10,10,10,14,10,8,8,8,10,10
"370910000M1",9,5,5,6,9,8,6,6,3,3,6,14,1,1,11,1,1,9,1,12,5,13,1,1,1,9,12,4,13,9,2
"3707900HOOK",9,6,5,9,8,9,3,8,8,3,3,3,14,12,1,5,1,6,7,1,3,13,7,13,3,12,13,4,6,9,2
"370210049.1",7,10,10,13,13,2,2,2,7,10,10,13,13,13,13,13,13,13,2,2,11,10,10,10,14,10,8,8,8,10,10
"3707900MAUR",9,6,5,9,8,9,3,8,8,3,3,3,14,12,1,5,1,6,7,1,3,13,7,13,3,12,13,4,6,11,9
"370910000ML",9,5,5,6,9,8,6,6,3,9,6,14,1,1,11,1,1,9,1,12,5,13,1,1,1,9,12,4,13,9,2
"37179000021",8,1,7,7,12,13,12,1,11,5,8,9,4,2,14,14,2,12,6,11,6,2,12,9,4,7,5,5,5,7,14
"37081000GIB",1,11,9,5,5,5,1,13,2,14,14,2,7,7,7,7,14,14,13,9,12,5,2,3,2,1,1,11,12,14,5
"37065000102",6,4,4,2,9,8,3,8,8,9,6,14,1,12,1,5,1,11,1,12,5,13,1,1,3,9,6,4,3,11,2
"37065000101",6,5,4,2,9,8,3,6,3,9,6,14,1,12,1,1,1,11,1,12,5,13,1,1,3,9,12,4,13,11,2
"370210036.1",7,10,13,10,13,2,2,2,7,10,10,13,13,13,13,8,13,13,2,2,11,10,10,10,14,10,8,8,8,10,10
"3703300MILT",6,5,9,14,5,5,1,13,2,14,14,2,7,10,9,9,3,11,3,9,13,6,1,1,1,1,1,4,13,14,5
"371510000LC",13,14,11,5,5,5,1,4,2,12,9,2,10,6,7,7,14,14,13,6,9,11,5,2,2,2,4,11,12,3,3
"37179000027",13,14,8,7,12,13,13,11,11,4,8,9,4,11,6,12,2,1,14,14,6,2,4,8,4,7,4,1,12,3,3
"371510000LB",1,14,11,11,5,5,1,13,13,4,14,2,7,6,7,9,14,14,13,6,13,11,6,3,2,2,4,11,12,14,5
"3710900TA37",12,12,1,1,7,10,4,11,12,1,13,10,9,9,4,10,12,4,10,13,4,4,9,11,8,11,10,10,7,5,7
"37179000026",13,14,8,7,12,13,13,1,11,5,8,9,4,2,14,12,2,1,6,14,6,2,4,8,4,7,4,1,12,3,14
"37179000025",13,1,7,7,12,13,12,1,11,5,8,9,4,2,14,12,2,1,14,14,6,2,4,8,4,7,4,1,12,3,3
