"GEOID20","iteration_0","iteration_50","iteration_100","iteration_150","iteration_200","iteration_250","iteration_300","iteration_350","iteration_400","iteration_450","iteration_500","iteration_550","iteration_600","iteration_650","iteration_700","iteration_750","iteration_800","iteration_850","iteration_900","iteration_950","iteration_1000","iteration_1050","iteration_1100","iteration_1150","iteration_1200","iteration_1250","iteration_1300","iteration_1350","iteration_1400","iteration_1450","iteration_1500","iteration_1550","iteration_1600","iteration_1650","iteration_1700","iteration_1750","iteration_1800","iteration_1850","iteration_1900","iteration_1950","iteration_2000","iteration_2050","iteration_2100","iteration_2150","iteration_2200","iteration_2250","iteration_2300","iteration_2350","iteration_2400","iteration_2450","iteration_2500"
"37081000RC2",10,11,10,10,9,8,9,9,10,2,2,10,7,8,10,10,3,1,11,1,1,2,10,10,7,3,1,8,5,10,3,3,1,1,5,3,3,4,4,6,4,4,4,4,4,4,3,3,5,5,5
"37081000RC1",2,11,10,10,9,8,9,9,10,2,2,10,7,8,8,10,3,1,11,1,1,2,10,10,7,3,1,8,5,10,3,3,1,1,5,3,3,4,4,6,4,4,4,4,4,4,3,3,5,5,5
"3710900LS12",8,5,1,5,10,2,5,5,7,7,1,1,4,1,6,6,13,13,12,13,6,13,6,3,6,4,10,10,10,13,7,7,13,9,9,9,9,9,13,13,7,7,7,7,7,7,7,1,1,1,1
"371170000BG",3,4,4,4,11,11,7,12,8,12,3,3,3,5,1,11,11,2,5,8,5,8,8,8,1,12,11,11,2,8,12,2,2,2,2,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"370210022.2",1,1,5,2,2,13,13,13,13,13,13,6,1,9,9,12,12,12,9,6,13,6,13,6,10,10,4,4,9,9,9,9,7,7,7,7,7,7,7,7,9,9,9,9,9,6,6,6,6,6,6
"3712700P08A",6,9,3,4,11,11,7,8,8,12,12,11,5,5,11,11,11,3,5,5,8,5,8,2,12,11,8,6,6,6,8,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3
"371490TR123",5,5,5,2,2,13,13,13,13,7,1,6,1,9,9,12,12,12,9,6,13,13,13,6,10,10,4,4,9,9,9,9,7,7,7,7,7,7,7,7,9,9,9,9,9,6,6,6,6,6,6
"37001000013",2,11,10,10,9,8,10,9,10,2,2,10,7,8,8,8,3,1,11,1,1,2,10,10,7,3,1,8,5,10,3,3,1,1,5,3,3,4,4,6,4,4,4,4,4,4,3,3,5,5,5
"37125000BEN",13,13,8,1,4,4,6,7,2,3,10,9,6,12,4,2,2,7,4,2,7,11,11,11,11,2,5,1,11,12,1,4,4,11,11,4,6,6,6,8,10,10,8,8,8,8,11,11,11,11,11
"3703100BFT2",3,3,12,6,1,3,7,12,9,11,3,3,11,5,1,7,7,2,8,8,5,8,8,8,1,12,11,11,2,8,12,2,2,2,2,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"3703100BFT1",3,3,12,6,1,3,7,12,9,11,3,3,11,5,1,7,7,2,8,8,5,8,8,8,1,12,11,11,2,8,12,2,2,2,2,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"3710900LB34",8,5,1,5,10,2,5,5,7,7,1,1,4,1,6,6,13,13,12,13,6,13,6,3,6,4,10,10,10,13,7,7,13,9,9,9,9,9,13,13,7,7,7,7,7,7,7,1,1,1,1
"3708300CONC",3,4,3,4,11,11,8,12,8,12,12,11,3,5,1,11,11,2,5,5,5,8,8,8,12,11,8,6,6,6,8,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3
"3705100LR63",13,12,11,3,4,1,6,7,3,3,10,12,12,7,4,2,4,7,4,2,2,11,11,11,11,2,5,1,11,12,1,4,4,11,11,4,6,6,6,8,10,10,8,8,8,8,11,11,11,11,11
"3705500KTHK",3,4,4,4,11,11,7,12,8,11,12,3,3,5,1,11,11,2,8,5,5,8,8,8,1,12,11,11,2,8,12,2,2,2,2,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"370970000FT",8,10,1,8,5,5,12,1,5,5,1,4,6,12,6,9,13,9,12,13,6,1,1,3,6,4,10,10,13,4,4,1,10,10,10,10,10,10,11,11,7,7,7,7,7,7,7,7,7,7,7
"37001000001",10,12,11,10,9,8,10,9,10,3,2,10,10,11,4,2,3,7,11,10,1,2,10,10,7,3,1,8,11,10,3,3,1,1,5,3,3,4,4,6,4,4,4,4,4,4,3,3,5,5,5
"3708100H29B",10,11,7,10,9,12,9,6,1,5,2,7,7,8,10,10,8,10,3,12,7,4,10,10,7,3,1,8,4,5,10,10,10,10,10,10,8,11,11,11,11,11,13,13,11,11,1,7,7,7,7
"3716300GIDD",9,6,9,11,6,1,11,7,2,10,11,12,3,3,11,7,4,4,1,11,11,5,3,2,11,2,5,1,11,12,1,4,4,11,12,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"3708100H29A",10,10,7,10,9,12,9,6,1,1,5,7,8,8,10,10,8,10,3,12,7,4,4,4,4,6,1,8,4,5,10,10,10,10,10,10,8,11,11,11,11,11,13,13,11,11,1,7,7,7,7
"37005000004",5,7,2,8,5,5,10,6,5,5,7,4,6,4,12,9,6,9,7,7,12,1,1,13,3,9,9,9,13,5,10,10,8,8,8,8,10,10,10,4,6,6,6,6,6,9,9,9,9,9,9
"3712700P07A",6,9,3,4,11,7,7,8,8,12,12,11,5,5,11,11,11,3,5,5,8,5,5,2,12,11,8,6,6,6,8,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3
