"GEOID20","iteration_0","iteration_50","iteration_100","iteration_150","iteration_200","iteration_250","iteration_300","iteration_350","iteration_400","iteration_450","iteration_500","iteration_550","iteration_600","iteration_650","iteration_700","iteration_750","iteration_800","iteration_850","iteration_900","iteration_950","iteration_1000","iteration_1050","iteration_1100","iteration_1150","iteration_1200","iteration_1250","iteration_1300","iteration_1350","iteration_1400","iteration_1450","iteration_1500","iteration_1550","iteration_1600","iteration_1650","iteration_1700","iteration_1750","iteration_1800","iteration_1850","iteration_1900","iteration_1950","iteration_2000","iteration_2050","iteration_2100","iteration_2150","iteration_2200","iteration_2250","iteration_2300","iteration_2350","iteration_2400","iteration_2450","iteration_2500","iteration_2550","iteration_2600","iteration_2650","iteration_2700","iteration_2750","iteration_2800","iteration_2850","iteration_2900","iteration_2950","iteration_3000"
"37025012-12",8,1,11,5,5,8,4,13,11,10,13,5,5,11,11,4,3,3,2,6,6,12,6,4,4,2,6,9,10,9,9,8,8,13,10,13,10,6,7,7,7,2,2,2,7,7,11,11,11,11,11,11,11,2,2,11,11,11,11,11,11
"37025012-11",8,1,11,5,5,8,8,8,9,10,13,5,5,11,11,4,3,3,2,6,6,12,6,4,4,10,6,9,10,9,9,8,8,13,10,13,10,6,7,7,7,2,2,2,7,7,11,11,11,11,11,11,11,2,2,11,11,11,11,11,11
"37025012-10",8,1,11,5,5,8,4,8,9,10,13,5,5,11,1,4,3,3,2,6,6,12,6,4,4,10,6,9,10,9,9,8,8,13,10,13,10,6,7,7,7,2,2,2,7,7,11,11,11,11,11,11,11,2,2,11,11,11,11,11,11
"3700300T2T3",9,9,9,6,13,5,8,8,13,12,10,6,12,5,5,5,4,7,5,2,11,11,4,13,6,13,13,13,9,10,10,10,10,6,6,10,6,9,7,7,7,4,4,4,4,11,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6
"3712500EKWD",3,8,3,11,4,3,12,7,5,6,7,10,11,4,2,8,9,11,11,7,7,6,3,7,10,1,12,7,12,4,4,3,4,1,3,3,3,3,3,8,8,8,3,3,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9
"371370005AP",7,6,7,2,1,6,7,10,6,4,2,3,3,13,10,7,13,8,10,3,10,1,10,10,12,12,8,1,3,1,5,5,12,9,9,7,1,7,12,12,9,9,9,9,9,9,12,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"3704300TUSQ",2,2,13,13,8,11,11,12,12,13,12,12,6,6,6,6,6,6,4,4,4,4,11,11,11,11,11,11,7,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7
"37191000001",11,12,6,12,10,7,7,9,10,4,4,4,3,3,8,7,8,1,10,3,10,8,10,10,12,12,1,1,3,12,12,12,5,12,12,1,8,1,1,10,10,10,10,10,10,3,3,12,5,5,12,12,12,12,12,12,12,12,12,12,12
"3715900019A",8,1,9,6,11,13,8,8,11,10,11,5,5,2,1,4,5,7,2,5,6,12,5,12,2,10,6,9,10,9,9,8,8,13,10,13,10,6,7,7,7,2,2,2,7,7,11,11,11,11,11,11,11,2,2,11,11,11,11,11,11
"370510G3A-2",3,8,10,12,4,7,3,9,10,11,7,2,13,8,9,9,10,5,13,13,3,3,7,3,3,9,5,8,4,5,1,9,9,4,1,12,9,10,9,9,12,1,1,1,12,12,9,9,9,9,9,1,1,1,1,1,1,1,1,1,1
